L1_ItemNumber,L1_ItemDescription,L1_ItemType,L1_LotNumber,L1_Job,L1_JobStatus,L2_Quantity,L2_ItemNumber,L2_ItemDescription,L2_ItemType,L2_LotNumber,L2_Job,L2_JobStatus,L3_Quantity,L3_ItemNumber,L3_ItemDescription,L3_ItemType,L3_LotNumber,L3_Job,L3_JobStatus,L4_Quantity,L4_ItemNumber,L4_ItemDescription,L4_ItemType,L4_LotNumber,L4_Job,L4_JobStatus,L5_Quantity,L5_ItemNumber,L5_ItemDescription,L5_ItemType,L5_LotNumber
UL669134MZ,unavailable,Finished Good,QPCPYKL,QPCPYKL,Closed,32,GN1077TGK9,Boa constrictor mexicana,Sub Assembly,4Z6E21F,QAVIAEZ,Released,73,UA700ZHN5F,Buteo regalis,Sub Assembly,QAVIAEZ,UFP6AGO,Released,58,ID789KWZ0Y,Anthropoides paradisea,Sub Assembly,UFP6AGO,7SK4EY8,Closed,3,OJ207EOKZ5,Ceratotherium simum,Raw Material,7SK4EY8
IZ767GIG18,Eunectes sp.,Finished Good,KK55NVQ,KK55NVQ,Unreleased,77,NL479YC3PM,Macropus agilis,Sub Assembly,4EZH6A2,ZZ9L1PI,Unreleased,8,TR202OHRJ8,Zosterops pallidus,Sub Assembly,ZZ9L1PI,VNABJC0,Unreleased,48,HW991WJL7F,Phasianus colchicus,Sub Assembly,VNABJC0,7Z1KVX2,Released,11,JY325QPYFD,Pycnonotus nigricans,Raw Material,7Z1KVX2
XX842ECD1B,Eumetopias jubatus,Finished Good,4D55RE5,4D55RE5,Complete,14,IX83928QKZ,Genetta genetta,Sub Assembly,BY62OLI,DMTX6BZ,Complete,91,RY8076ADQX,Laniarius ferrugineus,Sub Assembly,DMTX6BZ,4ROE0MY,Closed,6,DN461YHLB3,Myotis lucifugus,Sub Assembly,4ROE0MY,A61LFTG,Released,50,XH130RVZIT,Casmerodius albus,Raw Material,A61LFTG
MZ441ELE73,Ardea golieth,Finished Good,3D0ZGAP,3D0ZGAP,Closed,99,MU581HY914,Cereopsis novaehollandiae,Sub Assembly,8US6LD7,2EGYICG,Unreleased,19,ZF254JDBWA,Papio cynocephalus,Sub Assembly,2EGYICG,XTRQIKT,Complete,88,WD84045RY5,Pavo cristatus,Sub Assembly,XTRQIKT,X2MVXIS,Complete,97,AW600MC65S,Eira barbata,Raw Material,X2MVXIS
VG5951YMIZ,Phalacrocorax carbo,Finished Good,J7DYQL0,J7DYQL0,Unreleased,28,ZT17074KDS,Neophron percnopterus,Sub Assembly,V4C8VYE,FHD38QR,Released,92,HT187TM346,Melophus lathami,Sub Assembly,FHD38QR,IFUCNWN,Unreleased,60,YV401RBLIV,Naja nivea,Sub Assembly,IFUCNWN,N32WDUY,Complete,86,GK081GBX8X,Bettongia penicillata,Raw Material,N32WDUY
UL669134MZ,unavailable,Finished Good,0F9BB41,0F9BB41,Complete,82,HI221W99HA,Manouria emys,Sub Assembly,HNGVYWY,RQ3SSD8,Unreleased,31,AN106VMB9Z,Meleagris gallopavo,Sub Assembly,RQ3SSD8,J1OKT8P,Unreleased,3,CM8676IOLV,Sylvicapra grimma,Sub Assembly,J1OKT8P,MQES8AK,Released,51,RP113GJF9L,Macaca nemestrina,Raw Material,MQES8AK
IZ767GIG18,Eunectes sp.,Finished Good,L8PVL8M,L8PVL8M,Closed,31,TW138D0O1G,Toxostoma curvirostre,Sub Assembly,N6HEVC1,EZWIPGS,Unreleased,90,FF3610NQ0W,Actophilornis africanus,Sub Assembly,EZWIPGS,00Q8DQF,Unreleased,61,QB1164GSNA,unavailable,Sub Assembly,00Q8DQF,5THMZZ9,Released,64,IC923OMVOF,Stercorarius longicausus,Raw Material,5THMZZ9
XX842ECD1B,Eumetopias jubatus,Finished Good,R4RWMR1,R4RWMR1,Closed,99,AN397S5RSI,Phalaropus fulicarius,Sub Assembly,TLDN0UJ,SI17ALA,Complete,54,BS508XXHRD,Spermophilus richardsonii,Sub Assembly,SI17ALA,2JGRNZU,Complete,55,HC267PP39I,Caiman crocodilus,Sub Assembly,2JGRNZU,2ZP2SRV,Complete,46,SX08477TVF,Columba palumbus,Raw Material,2ZP2SRV
MZ441ELE73,Ardea golieth,Finished Good,UGLIL78,UGLIL78,Complete,11,QV741IG248,Haliaetus vocifer,Sub Assembly,1Y27W4M,H9ZP82E,Closed,96,EU290A8ENU,Ovis ammon,Sub Assembly,H9ZP82E,8D51RID,Unreleased,70,CQ728WN8IA,Paraxerus cepapi,Sub Assembly,8D51RID,XFOQTQ8,Released,57,RH693YESOC,Lamprotornis nitens,Raw Material,XFOQTQ8
VG5951YMIZ,Phalacrocorax carbo,Finished Good,1QIJP7A,1QIJP7A,Complete,53,IN009KUD12,Francolinus swainsonii,Sub Assembly,B56S0J9,83HR5QU,Complete,91,ES187TFWQ2,Tursiops truncatus,Sub Assembly,83HR5QU,TYRIUN5,Released,16,OZ317B65IR,Lemur fulvus,Sub Assembly,TYRIUN5,KGMDQQC,Released,56,TV44071PF5,Ploceus intermedius,Raw Material,KGMDQQC
